Room,Room,Description,Maximum Capacity,
SRTC,104,GP  TAC  CB  W  TECH     RO/PH,26,
SRTC,108,GP  TAC  CB  W  TECH     RO,25,
SRTC,139B,GP  TAC  MB  W  TECH     RO/CH,20,
SRTC,139D,GP  TAC  MB  W  TECH     RO/CH,20,
SRTC,155,GP  TC  CB  TECH     RO,48,
SRTC,162,GP  TAC  CB  W  TECH     RO/BI,25,
SRTC,166,GP  TAC  CB  W  TECH     RO/CH,25,
SRTC,247,GP  TC  CB  TECH     RO/BI/CH,60,
URBN,250,GP  TC  CB  W  TECH     RO/UPA,72,
URBN,303,GP  TC  CB  W  TECH  DISTANCE LEARNING     RO,32,
URBN,304,GP  TC  CB  W  TECH  DISTANCE LEARNING     RO,33,
UTS,203,GP  TC  MB  W  TECH     RO,60,
UTS,205,GP  TC  MB  W  TECH     RO,40,
UTS,206,GP  TC  MB  W  TECH     RO,60,
UTS,208,GP  TAC  MB  W  TECH     RO,28,
UTS,209,GP  TAC  MB  W  TECH     RO,40,
UTS,210,GP  TAC  MB  W  TECH     RO,40,
UTS,304,GP  TC  MB  W  TECH     RO,40,
UTS,305,GP  TC  MB  W  TECH     RO,48,
UTS,306,GP  TC  MB  W  TECH     RO,38,
UTS,307,GP  TC  MB  W  TECH     RO,48,
UTS,308,GP  TC  MB  W  TECH     RO,52,
UTS,310,GP  TC  MB  W  TECH     RO,30,
XSB,183,GP TECH TC     RO,65,
XSB,201,GP TECH TAC W MB     RO,36,
XSB,205,GP  TECH TAC     RO,28,
XSB,259,GP  TECH TC     RO,28,
XSB,261,GP TECH TC     RO,28,
XSB,291,GP TECH TAC     RO,28,
XSB,293,GP TECH TC     RO,30,
