,Building,Class,Actual_Enrl,Latitude,Longitude,Days,Day_start_M,Day_end_M,Day_start_T,Day_end_T,Day_start_W,Day_end_W,Day_start_R,Day_end_R,Day_start_F,Day_end_F,Day_start_S,Day_end_S,Day_start_U,Day_end_U
0,CH,ASC 199,15,680507.418369,7642314.424760001,T,na,na,2016-09-27 16:00:00,2016-09-27 16:50:00,na,na,na,na,na,na,na,na,na,na
1,NH,SCI 503,8,680027.8416159999,7642114.5862,T,na,na,2016-09-27 18:30:00,2016-09-27 20:20:00,na,na,na,na,na,na,na,na,na,na
2,AB,ART 227,8,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
3,AB,ART 581,2,679061.044896,7642575.33562,M,2016-09-26 13:00:00,2016-09-26 14:50:00,na,na,na,na,na,na,na,na,na,na,na,na
4,AB,ART 582,5,679061.044896,7642575.33562,W,na,na,na,na,2016-09-28 18:00:00,2016-09-28 19:50:00,na,na,na,na,na,na,na,na
5,AB,ART 399,7,679061.044896,7642575.33562,R,na,na,na,na,na,na,2016-09-29 08:30:00,2016-09-29 12:20:00,na,na,na,na,na,na
6,AB,ARH 407,6,679061.044896,7642575.33562,F,na,na,na,na,na,na,na,na,2016-09-30 10:00:00,2016-09-30 12:50:00,na,na,na,na
7,AB,ARH 507,0,679061.044896,7642575.33562,F,na,na,na,na,na,na,na,na,2016-09-30 10:00:00,2016-09-30 12:50:00,na,na,na,na
8,AB,ART 118,25,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
9,AB,ART 320,21,679061.044896,7642575.33562,MW,2016-09-26 14:00:00,2016-09-26 16:50:00,na,na,2016-09-28 14:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
10,AB,ART 118,22,679061.044896,7642575.33562,MW,2016-09-26 18:00:00,2016-09-26 20:50:00,na,na,2016-09-28 18:00:00,2016-09-28 20:50:00,na,na,na,na,na,na,na,na
11,AB,ART 320,19,679061.044896,7642575.33562,TR,na,na,2016-09-27 09:00:00,2016-09-27 11:50:00,na,na,2016-09-29 09:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
12,AB,ART 118,24,679061.044896,7642575.33562,TR,na,na,2016-09-27 14:00:00,2016-09-27 16:50:00,na,na,2016-09-29 14:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
13,AB,ART 320,21,679061.044896,7642575.33562,TR,na,na,2016-09-27 18:00:00,2016-09-27 20:50:00,na,na,2016-09-29 18:00:00,2016-09-29 20:50:00,na,na,na,na,na,na
14,AB,ART 210,18,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
15,AB,ART 200,23,679061.044896,7642575.33562,MW,2016-09-26 12:00:00,2016-09-26 14:50:00,na,na,2016-09-28 12:00:00,2016-09-28 14:50:00,na,na,na,na,na,na,na,na
16,AB,ART 341,18,679061.044896,7642575.33562,MW,2016-09-26 18:00:00,2016-09-26 20:50:00,na,na,2016-09-28 18:00:00,2016-09-28 20:50:00,na,na,na,na,na,na,na,na
17,AB,ART 341,21,679061.044896,7642575.33562,TR,na,na,2016-09-27 09:00:00,2016-09-27 11:50:00,na,na,2016-09-29 09:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
18,AB,ART 341,21,679061.044896,7642575.33562,TR,na,na,2016-09-27 15:00:00,2016-09-27 17:50:00,na,na,2016-09-29 15:00:00,2016-09-29 17:50:00,na,na,na,na,na,na
19,AB,ART 472,15,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
20,AB,ART 254,20,679061.044896,7642575.33562,MW,2016-09-26 14:00:00,2016-09-26 16:50:00,na,na,2016-09-28 14:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
21,AB,ART 254,19,679061.044896,7642575.33562,TR,na,na,2016-09-27 09:00:00,2016-09-27 11:50:00,na,na,2016-09-29 09:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
22,AB,ART 470,17,679061.044896,7642575.33562,TR,na,na,2016-09-27 14:00:00,2016-09-27 16:50:00,na,na,2016-09-29 14:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
23,AB,ART 471,11,679061.044896,7642575.33562,TR,na,na,2016-09-27 18:00:00,2016-09-27 20:50:00,na,na,2016-09-29 18:00:00,2016-09-29 20:50:00,na,na,na,na,na,na
24,AB,ART 399,7,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
25,AB,ART 224,15,679061.044896,7642575.33562,MW,2016-09-26 14:00:00,2016-09-26 16:50:00,na,na,2016-09-28 14:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
26,AB,ART 224,19,679061.044896,7642575.33562,MW,2016-09-26 18:00:00,2016-09-26 20:50:00,na,na,2016-09-28 18:00:00,2016-09-28 20:50:00,na,na,na,na,na,na,na,na
27,AB,ART 111,17,679061.044896,7642575.33562,TR,na,na,2016-09-27 09:00:00,2016-09-27 11:50:00,na,na,2016-09-29 09:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
28,AB,ART 224,19,679061.044896,7642575.33562,TR,na,na,2016-09-27 14:00:00,2016-09-27 16:50:00,na,na,2016-09-29 14:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
29,AB,ART 100,16,679061.044896,7642575.33562,TR,na,na,2016-09-27 18:00:00,2016-09-27 20:50:00,na,na,2016-09-29 18:00:00,2016-09-29 20:50:00,na,na,na,na,na,na
30,AB,ARH 361U,40,679061.044896,7642575.33562,MW,2016-09-26 13:00:00,2016-09-26 14:50:00,na,na,2016-09-28 13:00:00,2016-09-28 14:50:00,na,na,na,na,na,na,na,na
31,AB,ARH 491,27,679061.044896,7642575.33562,MW,2016-09-26 15:00:00,2016-09-26 16:50:00,na,na,2016-09-28 15:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
32,AB,ARH 591,3,679061.044896,7642575.33562,MW,2016-09-26 15:00:00,2016-09-26 16:50:00,na,na,2016-09-28 15:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
33,AB,ARH 290,54,679061.044896,7642575.33562,MW,2016-09-26 18:00:00,2016-09-26 19:50:00,na,na,2016-09-28 18:00:00,2016-09-28 19:50:00,na,na,na,na,na,na,na,na
34,AB,ARH 321U,16,679061.044896,7642575.33562,TR,na,na,2016-09-27 10:00:00,2016-09-27 11:50:00,na,na,2016-09-29 10:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
35,AB,ARH 311U,32,679061.044896,7642575.33562,TR,na,na,2016-09-27 14:00:00,2016-09-27 15:50:00,na,na,2016-09-29 14:00:00,2016-09-29 15:50:00,na,na,na,na,na,na
36,AB,ARH 432U,31,679061.044896,7642575.33562,TR,na,na,2016-09-27 16:00:00,2016-09-27 17:50:00,na,na,2016-09-29 16:00:00,2016-09-29 17:50:00,na,na,na,na,na,na
37,AB,ARH 425U,15,679061.044896,7642575.33562,T,na,na,2016-09-27 18:00:00,2016-09-27 20:50:00,na,na,na,na,na,na,na,na,na,na
38,AB,ART 330,38,679061.044896,7642575.33562,R,na,na,na,na,na,na,2016-09-29 18:00:00,2016-09-29 20:50:00,na,na,na,na,na,na
39,AB,ART 312,16,679061.044896,7642575.33562,M,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,na,na,na,na,na,na,na,na,na,na
40,AB,ART 312,15,679061.044896,7642575.33562,TR,na,na,2016-09-27 14:00:00,2016-09-27 16:50:00,na,na,2016-09-29 14:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
41,AB,ART 312,12,679061.044896,7642575.33562,TR,na,na,2016-09-27 18:00:00,2016-09-27 20:50:00,na,na,2016-09-29 18:00:00,2016-09-29 20:50:00,na,na,na,na,na,na
42,AB,ART 182,20,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
43,AB,ART 182,22,679061.044896,7642575.33562,TR,na,na,2016-09-27 14:00:00,2016-09-27 16:50:00,na,na,2016-09-29 14:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
44,AB,ART 182,12,679061.044896,7642575.33562,TR,na,na,2016-09-27 18:40:00,2016-09-27 21:20:00,na,na,2016-09-29 18:40:00,2016-09-29 21:20:00,na,na,na,na,na,na
45,AB,ART 585,11,679061.044896,7642575.33562,W,na,na,na,na,2016-09-28 12:00:00,2016-09-28 13:50:00,na,na,na,na,na,na,na,na
46,AB,ART 578,8,679061.044896,7642575.33562,W,na,na,na,na,2016-09-28 14:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
47,AB,ART 203,10,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
48,AB,ART 299,6,679061.044896,7642575.33562,MW,2016-09-26 14:00:00,2016-09-26 16:50:00,na,na,2016-09-28 14:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
49,AB,ART 399,10,679061.044896,7642575.33562,MW,2016-09-26 14:00:00,2016-09-26 16:50:00,na,na,2016-09-28 14:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
50,AB,ART 203,15,679061.044896,7642575.33562,TR,na,na,2016-09-27 14:00:00,2016-09-27 16:50:00,na,na,2016-09-29 14:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
51,AB,ART 115,25,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
52,AB,ART 115,25,679061.044896,7642575.33562,MW,2016-09-26 14:00:00,2016-09-26 16:50:00,na,na,2016-09-28 14:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
53,AB,ART 115,24,679061.044896,7642575.33562,MW,2016-09-26 18:40:00,2016-09-26 21:20:00,na,na,2016-09-28 18:40:00,2016-09-28 21:20:00,na,na,na,na,na,na,na,na
54,AB,ART 115,25,679061.044896,7642575.33562,TR,na,na,2016-09-27 09:00:00,2016-09-27 11:50:00,na,na,2016-09-29 09:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
55,AB,ART 115,23,679061.044896,7642575.33562,TR,na,na,2016-09-27 14:00:00,2016-09-27 16:50:00,na,na,2016-09-29 14:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
56,AB,ART 115,23,679061.044896,7642575.33562,TR,na,na,2016-09-27 18:40:00,2016-09-27 21:20:00,na,na,2016-09-29 18:40:00,2016-09-29 21:20:00,na,na,na,na,na,na
57,AB,ART 131,20,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
58,AB,ART 250,16,679061.044896,7642575.33562,TRF,na,na,2016-09-27 09:00:00,2016-09-27 11:50:00,na,na,2016-09-29 09:00:00,2016-09-29 11:50:00,2016-09-30 09:00:00,2016-09-30 11:50:00,na,na,na,na
59,AB,ART 354,21,679061.044896,7642575.33562,MW,2016-09-26 09:00:00,2016-09-26 11:50:00,na,na,2016-09-28 09:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
60,AB,ART 333,16,679061.044896,7642575.33562,MW,2016-09-26 12:00:00,2016-09-26 14:50:00,na,na,2016-09-28 12:00:00,2016-09-28 14:50:00,na,na,na,na,na,na,na,na
61,AB,ART 354,17,679061.044896,7642575.33562,MW,2016-09-26 18:00:00,2016-09-26 20:50:00,na,na,2016-09-28 18:00:00,2016-09-28 20:50:00,na,na,na,na,na,na,na,na
62,AB,ART 224,25,679061.044896,7642575.33562,TR,na,na,2016-09-27 09:00:00,2016-09-27 11:50:00,na,na,2016-09-29 09:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
63,AB,ART 320,19,679061.044896,7642575.33562,TR,na,na,2016-09-27 14:00:00,2016-09-27 16:50:00,na,na,2016-09-29 14:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
64,AB,ART 320,16,679061.044896,7642575.33562,TR,na,na,2016-09-27 18:00:00,2016-09-27 20:50:00,na,na,2016-09-29 18:00:00,2016-09-29 20:50:00,na,na,na,na,na,na
65,AB,ART 425,18,679061.044896,7642575.33562,TR,na,na,2016-09-27 14:00:00,2016-09-27 16:50:00,na,na,2016-09-29 14:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
66,AB,ART 492,14,679061.044896,7642575.33562,TR,na,na,2016-09-27 14:00:00,2016-09-27 16:50:00,na,na,2016-09-29 14:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
69,ASRC,EC 201,205,680048.965263,7642730.146919999,MW,2016-09-26 10:00:00,2016-09-26 11:50:00,na,na,2016-09-28 10:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
70,ASRC,ME 452,25,680048.965263,7642730.146919999,MW,2016-09-26 12:00:00,2016-09-26 13:50:00,na,na,2016-09-28 12:00:00,2016-09-28 13:50:00,na,na,na,na,na,na,na,na
71,ASRC,ME 552,8,680048.965263,7642730.146919999,MW,2016-09-26 12:00:00,2016-09-26 13:50:00,na,na,2016-09-28 12:00:00,2016-09-28 13:50:00,na,na,na,na,na,na,na,na
72,ASRC,ME 321,153,680048.965263,7642730.146919999,MW,2016-09-26 14:00:00,2016-09-26 15:50:00,na,na,2016-09-28 14:00:00,2016-09-28 15:50:00,na,na,na,na,na,na,na,na
73,ASRC,ME 420,24,680048.965263,7642730.146919999,MW,2016-09-26 16:40:00,2016-09-26 18:30:00,na,na,2016-09-28 16:40:00,2016-09-28 18:30:00,na,na,na,na,na,na,na,na
74,ASRC,ME 520,11,680048.965263,7642730.146919999,MW,2016-09-26 16:40:00,2016-09-26 18:30:00,na,na,2016-09-28 16:40:00,2016-09-28 18:30:00,na,na,na,na,na,na,na,na
75,ASRC,CS 469,55,680048.965263,7642730.146919999,M,2016-09-26 18:40:00,2016-09-26 21:20:00,na,na,na,na,na,na,na,na,na,na,na,na
76,ASRC,PH 201,219,680048.965263,7642730.146919999,TR,na,na,2016-09-27 10:00:00,2016-09-27 11:50:00,na,na,2016-09-29 10:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
77,ASRC,PH 211,138,680048.965263,7642730.146919999,TR,na,na,2016-09-27 12:00:00,2016-09-27 13:50:00,na,na,2016-09-29 12:00:00,2016-09-29 13:50:00,na,na,na,na,na,na
78,ASRC,PH 221,84,680048.965263,7642730.146919999,T,na,na,2016-09-27 12:00:00,2016-09-27 13:50:00,na,na,na,na,na,na,na,na,na,na
79,ASRC,ME 213,95,680048.965263,7642730.146919999,TR,na,na,2016-09-27 14:00:00,2016-09-27 15:50:00,na,na,2016-09-29 14:00:00,2016-09-29 15:50:00,na,na,na,na,na,na
80,ASRC,SPHR 487,65,680048.965263,7642730.146919999,TR,na,na,2016-09-27 16:40:00,2016-09-27 18:30:00,na,na,2016-09-29 16:40:00,2016-09-29 18:30:00,na,na,na,na,na,na
81,ASRC,PH 221,84,680048.965263,7642730.146919999,R,na,na,na,na,na,na,2016-09-29 12:00:00,2016-09-29 12:50:00,na,na,na,na,na,na
82,ASRC,AD HOC,0,680048.965263,7642730.146919999,SU,na,na,na,na,na,na,na,na,na,na,2016-10-01 07:00:00,2016-10-01 23:59:00,2016-10-02 07:00:00,2016-10-02 23:59:00
83,ASRC,EC 321U,36,680048.965263,7642730.146919999,MW,2016-09-26 10:00:00,2016-09-26 11:50:00,na,na,2016-09-28 10:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
84,ASRC,EC 332U,32,680048.965263,7642730.146919999,MW,2016-09-26 12:00:00,2016-09-26 13:50:00,na,na,2016-09-28 12:00:00,2016-09-28 13:50:00,na,na,na,na,na,na,na,na
85,ASRC,MTH 251,38,680048.965263,7642730.146919999,MWF,2016-09-26 14:00:00,2016-09-26 15:05:00,na,na,2016-09-28 14:00:00,2016-09-28 15:05:00,na,na,2016-09-30 14:00:00,2016-09-30 15:05:00,na,na,na,na
86,ASRC,PHE 466,39,680048.965263,7642730.146919999,MWF,2016-09-26 15:15:00,2016-09-26 16:20:00,na,na,2016-09-28 15:15:00,2016-09-28 16:20:00,na,na,2016-09-30 15:15:00,2016-09-30 16:20:00,na,na,na,na
87,ASRC,PHE 566,2,680048.965263,7642730.146919999,MWF,2016-09-26 15:15:00,2016-09-26 16:20:00,na,na,2016-09-28 15:15:00,2016-09-28 16:20:00,na,na,2016-09-30 15:15:00,2016-09-30 16:20:00,na,na,na,na
88,ASRC,ETM 520,27,680048.965263,7642730.146919999,M,2016-09-26 17:30:00,2016-09-26 21:10:00,na,na,na,na,na,na,na,na,na,na,na,na
89,ASRC,ETM 620,1,680048.965263,7642730.146919999,M,2016-09-26 17:30:00,2016-09-26 21:10:00,na,na,na,na,na,na,na,na,na,na,na,na
90,ASRC,EC 311,36,680048.965263,7642730.146919999,TR,na,na,2016-09-27 10:00:00,2016-09-27 11:50:00,na,na,2016-09-29 10:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
91,ASRC,BI 360,46,680048.965263,7642730.146919999,TR,na,na,2016-09-27 12:00:00,2016-09-27 13:20:00,na,na,2016-09-29 12:00:00,2016-09-29 13:20:00,na,na,na,na,na,na
92,ASRC,BI 418,43,680048.965263,7642730.146919999,TR,na,na,2016-09-27 14:00:00,2016-09-27 15:50:00,na,na,2016-09-29 14:00:00,2016-09-29 15:50:00,na,na,na,na,na,na
93,ASRC,BI 518,5,680048.965263,7642730.146919999,TR,na,na,2016-09-27 14:00:00,2016-09-27 15:50:00,na,na,2016-09-29 14:00:00,2016-09-29 15:50:00,na,na,na,na,na,na
94,ASRC,MTH 112,36,680048.965263,7642730.146919999,TR,na,na,2016-09-27 16:40:00,2016-09-27 18:30:00,na,na,2016-09-29 16:40:00,2016-09-29 18:30:00,na,na,na,na,na,na
95,ASRC,BA 303,42,680048.965263,7642730.146919999,TR,na,na,2016-09-27 18:40:00,2016-09-27 20:30:00,na,na,2016-09-29 18:40:00,2016-09-29 20:30:00,na,na,na,na,na,na
96,ASRC,ISQA 459,37,680048.965263,7642730.146919999,W,na,na,na,na,2016-09-28 17:30:00,2016-09-28 21:10:00,na,na,na,na,na,na,na,na
97,ASRC,ISQA 559S,1,680048.965263,7642730.146919999,W,na,na,na,na,2016-09-28 17:30:00,2016-09-28 21:10:00,na,na,na,na,na,na,na,na
98,ASRC,SW 320U,38,680048.965263,7642730.146919999,F,na,na,na,na,na,na,na,na,2016-09-30 09:00:00,2016-09-30 12:40:00,na,na,na,na
99,ASRC,AD HOC,0,680048.965263,7642730.146919999,SU,na,na,na,na,na,na,na,na,na,na,2016-10-01 07:00:00,2016-10-01 23:59:00,2016-10-02 07:00:00,2016-10-02 23:59:00
109,ASRC,CS 333,57,680048.965263,7642730.146919999,MW,2016-09-26 08:15:00,2016-09-26 10:05:00,na,na,2016-09-28 08:15:00,2016-09-28 10:05:00,na,na,na,na,na,na,na,na
110,ASRC,SW 539,23,680048.965263,7642730.146919999,M,2016-09-26 13:00:00,2016-09-26 15:50:00,na,na,na,na,na,na,na,na,na,na,na,na
111,ASRC,PS 380U,17,680048.965263,7642730.146919999,MW,2016-09-26 16:40:00,2016-09-26 18:30:00,na,na,2016-09-28 16:40:00,2016-09-28 18:30:00,na,na,na,na,na,na,na,na
112,ASRC,PHL 303,44,680048.965263,7642730.146919999,TR,na,na,2016-09-27 10:00:00,2016-09-27 11:50:00,na,na,2016-09-29 10:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
113,ASRC,FILM 331U,52,680048.965263,7642730.146919999,TR,na,na,2016-09-27 12:00:00,2016-09-27 13:50:00,na,na,2016-09-29 12:00:00,2016-09-29 13:50:00,na,na,na,na,na,na
114,ASRC,BA 311,40,680048.965263,7642730.146919999,TR,na,na,2016-09-27 14:00:00,2016-09-27 15:50:00,na,na,2016-09-29 14:00:00,2016-09-29 15:50:00,na,na,na,na,na,na
115,ASRC,CFS 495,7,680048.965263,7642730.146919999,T,na,na,2016-09-27 16:00:00,2016-09-27 17:00:00,na,na,na,na,na,na,na,na,na,na
116,ASRC,ACTG 495,37,680048.965263,7642730.146919999,T,na,na,2016-09-27 17:40:00,2016-09-27 21:20:00,na,na,na,na,na,na,na,na,na,na
117,ASRC,CE 111L,47,680048.965263,7642730.146919999,W,na,na,na,na,2016-09-28 10:15:00,2016-09-28 13:00:00,na,na,na,na,na,na,na,na
118,ASRC,ITP 520,30,680048.965263,7642730.146919999,W,na,na,na,na,2016-09-28 13:00:00,2016-09-28 15:50:00,na,na,na,na,na,na,na,na
119,ASRC,PHE 512,10,680048.965263,7642730.146919999,W,na,na,na,na,2016-09-28 18:40:00,2016-09-28 21:20:00,na,na,na,na,na,na,na,na
120,ASRC,SOPH 03,28,680048.965263,7642730.146919999,W,na,na,na,na,2016-09-28 18:40:00,2016-09-28 21:20:00,na,na,na,na,na,na,na,na
121,ASRC,ACTG 430,41,680048.965263,7642730.146919999,R,na,na,na,na,na,na,2016-09-29 17:30:00,2016-09-29 19:20:00,na,na,na,na,na,na
122,ASRC,AD HOC,0,680048.965263,7642730.146919999,SU,na,na,na,na,na,na,na,na,na,na,2016-10-01 07:00:00,2016-10-01 23:59:00,2016-10-02 07:00:00,2016-10-02 23:59:00
125,ASRC,AD HOC,0,680048.965263,7642730.146919999,T,na,na,2016-09-27 16:00:00,2016-09-27 17:30:00,na,na,na,na,na,na,na,na,na,na
126,ASRC,AD HOC,0,680048.965263,7642730.146919999,R,na,na,na,na,na,na,2016-09-29 17:00:00,2016-09-29 17:30:00,na,na,na,na,na,na
127,ASRC,EC 442,42,680048.965263,7642730.146919999,MW,2016-09-26 10:00:00,2016-09-26 11:50:00,na,na,2016-09-28 10:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
128,ASRC,EC 542,2,680048.965263,7642730.146919999,MW,2016-09-26 10:00:00,2016-09-26 11:50:00,na,na,2016-09-28 10:00:00,2016-09-28 11:50:00,na,na,na,na,na,na,na,na
129,ASRC,BI 357,57,680048.965263,7642730.146919999,MWF,2016-09-26 12:45:00,2016-09-26 13:50:00,na,na,2016-09-28 12:45:00,2016-09-28 13:50:00,na,na,2016-09-30 12:45:00,2016-09-30 13:50:00,na,na,na,na
130,ASRC,PHL 310U,95,680048.965263,7642730.146919999,MW,2016-09-26 14:00:00,2016-09-26 15:50:00,na,na,2016-09-28 14:00:00,2016-09-28 15:50:00,na,na,na,na,na,na,na,na
131,ASRC,ISQA 410,26,680048.965263,7642730.146919999,M,2016-09-26 17:30:00,2016-09-26 21:10:00,na,na,na,na,na,na,na,na,na,na,na,na
132,ASRC,ISQA 510S,0,680048.965263,7642730.146919999,M,2016-09-26 17:30:00,2016-09-26 21:10:00,na,na,na,na,na,na,na,na,na,na,na,na
133,ASRC,CCJ 320U,42,680048.965263,7642730.146919999,TR,na,na,2016-09-27 08:00:00,2016-09-27 09:50:00,na,na,2016-09-29 08:00:00,2016-09-29 09:50:00,na,na,na,na,na,na
134,ASRC,EC 202,84,680048.965263,7642730.146919999,TR,na,na,2016-09-27 10:00:00,2016-09-27 11:50:00,na,na,2016-09-29 10:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
135,ASRC,PHL 365U,38,680048.965263,7642730.146919999,TR,na,na,2016-09-27 12:00:00,2016-09-27 13:50:00,na,na,2016-09-29 12:00:00,2016-09-29 13:50:00,na,na,na,na,na,na
136,ASRC,STAT 241,89,680048.965263,7642730.146919999,TR,na,na,2016-09-27 14:00:00,2016-09-27 15:50:00,na,na,2016-09-29 14:00:00,2016-09-29 15:50:00,na,na,na,na,na,na
137,ASRC,BA 495,44,680048.965263,7642730.146919999,TR,na,na,2016-09-27 17:40:00,2016-09-27 20:30:00,na,na,2016-09-29 17:40:00,2016-09-29 20:30:00,na,na,na,na,na,na
138,ASRC,PSY 350,50,680048.965263,7642730.146919999,W,na,na,na,na,2016-09-28 17:30:00,2016-09-28 21:10:00,na,na,na,na,na,na,na,na
139,ASRC,GEOG 407,8,680048.965263,7642730.146919999,R,na,na,na,na,na,na,2016-09-29 16:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
140,ASRC,GEOG 507,20,680048.965263,7642730.146919999,R,na,na,na,na,na,na,2016-09-29 16:00:00,2016-09-29 16:50:00,na,na,na,na,na,na
141,ASRC,AD HOC,0,680048.965263,7642730.146919999,SU,na,na,na,na,na,na,na,na,na,na,2016-10-01 07:00:00,2016-10-01 23:59:00,2016-10-02 07:00:00,2016-10-02 23:59:00
142,ASRC,PE 128,24,680048.965263,7642730.146919999,MW,2016-09-26 09:00:00,2016-09-26 09:50:00,na,na,2016-09-28 09:00:00,2016-09-28 09:50:00,na,na,na,na,na,na,na,na
143,ASRC,PE 124,29,680048.965263,7642730.146919999,MW,2016-09-26 10:15:00,2016-09-26 11:05:00,na,na,2016-09-28 10:15:00,2016-09-28 11:05:00,na,na,na,na,na,na,na,na
144,ASRC,PE 125,27,680048.965263,7642730.146919999,MW,2016-09-26 11:30:00,2016-09-26 12:20:00,na,na,2016-09-28 11:30:00,2016-09-28 12:20:00,na,na,na,na,na,na,na,na
145,ASRC,PE 129,19,680048.965263,7642730.146919999,MW,2016-09-26 12:45:00,2016-09-26 13:35:00,na,na,2016-09-28 12:45:00,2016-09-28 13:35:00,na,na,na,na,na,na,na,na
146,ASRC,PE 104,42,680048.965263,7642730.146919999,MW,2016-09-26 15:00:00,2016-09-26 15:50:00,na,na,2016-09-28 15:00:00,2016-09-28 15:50:00,na,na,na,na,na,na,na,na
147,ASRC,PE 132,20,680048.965263,7642730.146919999,M,2016-09-26 17:00:00,2016-09-26 18:50:00,na,na,na,na,na,na,na,na,na,na,na,na
148,ASRC,PE 128,14,680048.965263,7642730.146919999,TR,na,na,2016-09-27 08:00:00,2016-09-27 08:50:00,na,na,2016-09-29 08:00:00,2016-09-29 08:50:00,na,na,na,na,na,na
149,ASRC,PE 131,4,680048.965263,7642730.146919999,TR,na,na,2016-09-27 09:00:00,2016-09-27 09:50:00,na,na,2016-09-29 09:00:00,2016-09-29 09:50:00,na,na,na,na,na,na
150,ASRC,PHE 270,35,680048.965263,7642730.146919999,TR,na,na,2016-09-27 10:00:00,2016-09-27 10:50:00,na,na,2016-09-29 10:00:00,2016-09-29 10:50:00,na,na,na,na,na,na
151,ASRC,PE 129,27,680048.965263,7642730.146919999,TR,na,na,2016-09-27 11:00:00,2016-09-27 11:50:00,na,na,2016-09-29 11:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
152,ASRC,PE 124,28,680048.965263,7642730.146919999,TR,na,na,2016-09-27 12:00:00,2016-09-27 12:50:00,na,na,2016-09-29 12:00:00,2016-09-29 12:50:00,na,na,na,na,na,na
153,ASRC,PE 128,21,680048.965263,7642730.146919999,TR,na,na,2016-09-27 13:00:00,2016-09-27 13:50:00,na,na,2016-09-29 13:00:00,2016-09-29 13:50:00,na,na,na,na,na,na
154,ASRC,PE 140,28,680048.965263,7642730.146919999,TR,na,na,2016-09-27 14:00:00,2016-09-27 14:50:00,na,na,2016-09-29 14:00:00,2016-09-29 14:50:00,na,na,na,na,na,na
155,ASRC,PE 132,17,680048.965263,7642730.146919999,F,na,na,na,na,na,na,na,na,2016-09-30 08:00:00,2016-09-30 09:50:00,na,na,na,na
