,Building,Class,Actual_Enrl,Latitude,Longitude,Days,Day_start_M,Day_end_M,Day_start_T,Day_end_T,Day_start_W,Day_end_W,Day_start_R,Day_end_R,Day_start_F,Day_end_F,Day_start_S,Day_end_S,Day_start_U,Day_end_U
458,CH,UNST 121C,12,680507.418369,7642314.424760001,MW,2016-09-26 15:00:00,2016-09-26 15:50:00,na,na,2016-09-28 15:00:00,2016-09-28 15:50:00,na,na,na,na,na,na,na,na
459,CH,UNST 121C,12,680507.418369,7642314.424760001,MW,2016-09-26 16:00:00,2016-09-26 16:50:00,na,na,2016-09-28 16:00:00,2016-09-28 16:50:00,na,na,na,na,na,na,na,na
460,CH,UNST 131E,11,680507.418369,7642314.424760001,TR,na,na,2016-09-27 09:00:00,2016-09-27 09:50:00,na,na,2016-09-29 09:00:00,2016-09-29 09:50:00,na,na,na,na,na,na
461,CH,UNST 131E,11,680507.418369,7642314.424760001,TR,na,na,2016-09-27 10:00:00,2016-09-27 10:50:00,na,na,2016-09-29 10:00:00,2016-09-29 10:50:00,na,na,na,na,na,na
462,CH,UNST 131E,12,680507.418369,7642314.424760001,TR,na,na,2016-09-27 11:00:00,2016-09-27 11:50:00,na,na,2016-09-29 11:00:00,2016-09-29 11:50:00,na,na,na,na,na,na
463,CH,UNST 236A,6,680507.418369,7642314.424760001,T,na,na,2016-09-27 12:00:00,2016-09-27 12:50:00,na,na,na,na,na,na,na,na,na,na
464,CH,UNST 131G,12,680507.418369,7642314.424760001,TR,na,na,2016-09-27 15:00:00,2016-09-27 15:50:00,na,na,2016-09-29 15:00:00,2016-09-29 15:50:00,na,na,na,na,na,na
465,CH,UNST 131G,14,680507.418369,7642314.424760001,TR,na,na,2016-09-27 17:30:00,2016-09-27 18:20:00,na,na,2016-09-29 17:30:00,2016-09-29 18:20:00,na,na,na,na,na,na
466,CH,UNST 131G,11,680507.418369,7642314.424760001,TR,na,na,2016-09-27 18:30:00,2016-09-27 19:20:00,na,na,2016-09-29 18:30:00,2016-09-29 19:20:00,na,na,na,na,na,na
467,CH,UNST 232A,9,680507.418369,7642314.424760001,W,na,na,na,na,2016-09-28 08:30:00,2016-09-28 09:20:00,na,na,na,na,na,na,na,na
