,Building,Class,Actual_Enrl,Day_M
445,BDWY,TUR 201,6,2016-09-26 14:00:00
459,CH,G 410,4,2016-09-26 12:30:00
460,CH,G 510,9,2016-09-26 12:30:00
461,CH,CH 443,31,2016-09-26 16:40:00
462,CH,CH 543,1,2016-09-26 16:40:00
476,CH,UNST 144G,36,2016-09-26 08:00:00
477,CH,UNST 121E,35,2016-09-26 09:30:00
478,CH,UNST 101C,34,2016-09-26 11:00:00
479,CH,UNST 121C,36,2016-09-26 12:30:00
480,CH,UNST 101G,36,2016-09-26 14:00:00
481,CH,UNST 254E,34,2016-09-26 16:00:00
490,CH,UNST 131M,35,2016-09-26 09:30:00
491,CH,UNST 107I,37,2016-09-26 11:00:00
492,CH,UNST 107G,37,2016-09-26 12:30:00
493,CH,UNST 107C,36,2016-09-26 14:00:00
498,CH,JPN 101,24,2016-09-26 10:00:00
499,CH,SWED 201,7,2016-09-26 16:40:00
500,CH,UNST 101C,11,2016-09-26 08:00:00
501,CH,UNST 101C,11,2016-09-26 09:00:00
502,CH,UNST 101C,12,2016-09-26 10:00:00
503,CH,UNST 101G,12,2016-09-26 11:00:00
504,CH,UNST 101G,12,2016-09-26 12:00:00
505,CH,UNST 101G,12,2016-09-26 13:00:00
506,CH,UNST 147B,12,2016-09-26 14:00:00
507,CH,UNST 220A,12,2016-09-26 15:30:00
508,CH,UNST 220A,10,2016-09-26 16:30:00
509,CH,UNST 228K,12,2016-09-26 18:00:00
510,CH,UNST 228K,5,2016-09-26 19:00:00
528,CH,UNST 107I,12,2016-09-26 08:00:00
529,CH,UNST 107I,12,2016-09-26 09:00:00
530,CH,UNST 107I,13,2016-09-26 10:00:00
531,CH,UNST 147A,12,2016-09-26 12:00:00
532,CH,UNST 147A,10,2016-09-26 13:00:00
533,CH,UNST 147A,14,2016-09-26 14:00:00
534,CH,UNST 107C,14,2016-09-26 15:30:00
535,CH,UNST 107C,11,2016-09-26 16:30:00
536,CH,UNST 107C,11,2016-09-26 17:30:00
548,CH,UNST 124C,13,2016-09-26 08:00:00
549,CH,UNST 124C,10,2016-09-26 09:00:00
550,CH,UNST 124C,14,2016-09-26 10:00:00
551,CH,UNST 131M,11,2016-09-26 11:00:00
552,CH,UNST 131M,12,2016-09-26 12:00:00
553,CH,UNST 131M,12,2016-09-26 13:00:00
554,CH,UNST 107G,12,2016-09-26 14:00:00
555,CH,UNST 107G,14,2016-09-26 15:00:00
556,CH,UNST 107G,11,2016-09-26 16:00:00
577,CH,PSY 345,33,2016-09-26 08:15:00
578,CH,HST 314U,51,2016-09-26 10:15:00
579,CH,SPHR 461,49,2016-09-26 12:00:00
580,CH,PSY 461U,79,2016-09-26 14:00:00
581,CH,ARH 110,18,2016-09-26 16:00:00
582,CH,PE 281,54,2016-09-26 18:00:00
589,CH,UNST 232A,9,2016-09-26 08:30:00
590,CH,UNST 121E,12,2016-09-26 11:00:00
591,CH,UNST 121E,12,2016-09-26 12:00:00
592,CH,UNST 121E,11,2016-09-26 13:00:00
593,CH,UNST 121C,12,2016-09-26 14:00:00
594,CH,UNST 121C,12,2016-09-26 15:00:00
595,CH,UNST 121C,12,2016-09-26 16:00:00
607,CH,ACTG 381,42,2016-09-26 08:15:00
608,CH,ACTG 381,0,2016-09-26 08:15:00
609,CH,BA 301,43,2016-09-26 10:15:00
610,CH,FIN 449,28,2016-09-26 11:30:00
611,CH,HST 104,43,2016-09-26 12:45:00
612,CH,HST 375U,20,2016-09-26 14:00:00
620,CH,UNST 117C,9,2016-09-26 10:15:00
621,CH,UNST 117C,13,2016-09-26 11:30:00
622,CH,UNST 117C,12,2016-09-26 12:45:00
623,CH,UNST 254B,12,2016-09-26 15:30:00
624,CH,UNST 254B,11,2016-09-26 16:30:00
632,CH,UNST 131K,12,2016-09-26 08:00:00
633,CH,UNST 131K,12,2016-09-26 09:00:00
634,CH,UNST 131K,12,2016-09-26 10:00:00
635,CH,UNST 228E,12,2016-09-26 11:00:00
636,CH,UNST 131C,11,2016-09-26 13:00:00
637,CH,UNST 134C,12,2016-09-26 14:00:00
