,Building,Class,Actual_Enrl,Day_M
1794,FAB,FR 101,27,2016-09-26 10:15:00
1795,FAB,FR 101,26,2016-09-26 11:30:00
1796,FAB,MTH 105,29,2016-09-26 12:45:00
1797,FAB,LING 144,17,2016-09-26 14:00:00
1798,FAB,COUN 593,11,2016-09-26 16:00:00
1811,FAB,COUN 509,6,2016-09-26 09:00:00
1812,FAB,COUN 509,5,2016-09-26 09:00:00
1835,FAB,ED 540,19,2016-09-26 09:30:00
1836,FAB,COUN 587,24,2016-09-26 16:00:00
1870,FAB,ED 585,18,2016-09-26 08:30:00
1871,FAB,SPED 522,21,2016-09-26 12:00:00
1872,FAB,SPED 510,25,2016-09-26 16:00:00
1873,FAB,SPED 509,25,2016-09-26 18:40:00
1906,FAB,LIB 428,21,2016-09-26 12:00:00
1907,FAB,LIB 528,3,2016-09-26 12:00:00
1908,FAB,SPED 597,11,2016-09-26 16:00:00
1909,FAB,SPED 506,11,2016-09-26 18:40:00
1921,FAB,ARCH 360,41,2016-09-26 08:15:00
1922,FAB,BA 495,33,2016-09-26 10:30:00
1923,FAB,HST 343U,20,2016-09-26 14:00:00
1924,FAB,WS 343U,7,2016-09-26 14:00:00
1925,FAB,PAP 511,19,2016-09-26 16:00:00
1943,FAB,PS 371,19,2016-09-26 09:00:00
1944,FAB,PS 421,39,2016-09-26 10:15:00
1945,FAB,PS 521,4,2016-09-26 10:15:00
1946,FAB,PS 373,20,2016-09-26 11:30:00
1947,FAB,FIN 465,38,2016-09-26 12:45:00
1948,FAB,LING 232,25,2016-09-26 14:00:00
1949,FAB,ECE 421,13,2016-09-26 16:40:00
1950,FAB,ECE 521,22,2016-09-26 16:40:00
1951,FAB,ECE 451,4,2016-09-26 18:40:00
1952,FAB,ECE 551,14,2016-09-26 18:40:00
1963,FAB,LING 418,11,2016-09-26 08:15:00
1964,FAB,LING 518,2,2016-09-26 08:15:00
1965,FAB,CS 399,14,2016-09-26 10:15:00
1966,FAB,CS 399,14,2016-09-26 11:30:00
1967,FAB,CS 399,14,2016-09-26 12:45:00
1968,FAB,ESM 416,15,2016-09-26 14:00:00
1969,FAB,ESM 516,13,2016-09-26 14:00:00
1970,FAB,ETM 561,5,2016-09-26 17:30:00
1971,FAB,ETM 661,0,2016-09-26 17:30:00
1989,FAB,LING 144,18,2016-09-26 12:45:00
1990,FAB,LING 144,16,2016-09-26 14:00:00
1995,FAB,ECE 221L,16,2016-09-26 13:00:00
1996,FAB,ECE 321L,28,2016-09-26 18:40:00
2008,FAB,ECE 331L,18,2016-09-26 09:00:00
2022,FAB,CS 410,13,2016-09-26 11:30:00
2023,FAB,CS 510,17,2016-09-26 11:30:00
2032,FAB,CS 162L,7,2016-09-26 10:00:00
2033,FAB,CS 163L,20,2016-09-26 12:00:00
2040,HOFF,EC 314U,138,2016-09-26 08:15:00
2041,HOFF,BI 341,126,2016-09-26 10:15:00
2042,HOFF,CS 447P,21,2016-09-26 14:00:00
2043,HOFF,CS 547,7,2016-09-26 14:00:00
2044,HOFF,PH 211,163,2016-09-26 16:40:00
2045,HOFF,BI 211,193,2016-09-26 18:40:00
2051,KMC,AD HOC,0,2016-09-26 07:00:00
2052,LH,TA 102,23,2016-09-26 12:00:00
2056,LH,TA 111,31,2016-09-26 12:45:00
2057,LH,TA 322U,40,2016-09-26 14:00:00
2062,LH,MUS 191,17,2016-09-26 09:00:00
2063,LH,MUS 191,14,2016-09-26 10:15:00
2064,LH,MUS 291,24,2016-09-26 11:30:00
2065,LH,MUS 291,11,2016-09-26 12:45:00
2069,LH,MUS 421,10,2016-09-26 11:15:00
2084,LH,MUS 211,28,2016-09-26 10:15:00
2085,LH,MUS 424,7,2016-09-26 11:30:00
2086,LH,MUS 524,3,2016-09-26 11:30:00
2087,LH,MUS 240,11,2016-09-26 12:30:00
2094,LH,MUS 211,24,2016-09-26 10:15:00
2095,LH,MUS 111,17,2016-09-26 11:30:00
2096,LH,MUS 512,9,2016-09-26 12:30:00
2097,LH,MUS 511,17,2016-09-26 16:30:00
2100,LH,MUS 311,25,2016-09-26 10:15:00
2101,LH,MUS 111,16,2016-09-26 11:30:00
2102,LH,MUS 481,3,2016-09-26 14:00:00
2103,LH,MUS 581,3,2016-09-26 14:00:00
2111,LH,JPN 201,10,2016-09-26 09:00:00
2112,LH,HON 403,27,2016-09-26 10:00:00
2113,LH,PORT 101,11,2016-09-26 12:45:00
2114,LH,MTH 111,36,2016-09-26 14:00:00
2129,LH,ENG 300,12,2016-09-26 09:00:00
2130,LH,LING 435,15,2016-09-26 11:30:00
2131,LH,LING 535,0,2016-09-26 11:30:00
2132,LH,PSY 321,28,2016-09-26 12:45:00
2133,LH,UPA 335,13,2016-09-26 14:00:00
2134,LH,USP 301,28,2016-09-26 16:00:00
2141,LH,PE 105,28,2016-09-26 08:00:00
2142,LH,PE 105,29,2016-09-26 09:00:00
2143,LH,D 196,12,2016-09-26 10:00:00
2144,LH,D 396,7,2016-09-26 10:00:00
2145,LH,TA 144,16,2016-09-26 14:00:00
2146,LH,PE 136,16,2016-09-26 19:00:00
2156,LH,CS 105,10,2016-09-26 08:15:00
2157,LH,BST 203,26,2016-09-26 10:15:00
2158,LH,COMM 410,24,2016-09-26 14:00:00
2159,LH,COMM 510,4,2016-09-26 14:00:00
2160,LH,CFS 312U,42,2016-09-26 16:40:00
2169,LH,MUED 333,13,2016-09-26 11:15:00
2170,LH,MUS 196,4,2016-09-26 16:00:00
2171,LH,MUS 396,3,2016-09-26 16:00:00
2172,LH,MUS 596,2,2016-09-26 16:00:00
2180,LH,TA 121,19,2016-09-26 10:00:00
2183,LH,MUS 111,19,2016-09-26 11:30:00
2184,LH,MUS 101,17,2016-09-26 12:45:00
2187,LH,MUS 187,6,2016-09-26 09:00:00
2189,LH,MUS 474,13,2016-09-26 10:15:00
2190,LH,MUS 574,1,2016-09-26 10:15:00
2193,LH,TA 347,5,2016-09-26 19:00:00
2196,LH,FILM 131,49,2016-09-26 12:00:00
2197,LH,FILM 370U,23,2016-09-26 14:00:00
2198,LH,FILM 381,30,2016-09-26 16:00:00
2199,LH,FILM 382,20,2016-09-26 18:00:00
2208,LH,MUED 484,17,2016-09-26 08:00:00
2209,LH,MUED 584,2,2016-09-26 08:00:00
2210,LH,MUS 481,12,2016-09-26 10:00:00
2211,LH,MUS 581,9,2016-09-26 10:00:00
2212,LH,MUS 204,12,2016-09-26 12:45:00
2228,LH,SOC 397,57,2016-09-26 08:15:00
2229,LH,HST 362U,20,2016-09-26 10:15:00
2230,LH,INTL 362U,30,2016-09-26 10:15:00
2231,LH,HST 201,48,2016-09-26 11:30:00
2232,LH,BA 101,62,2016-09-26 14:00:00
2233,LH,BA 303,41,2016-09-26 17:40:00
2243,LH,MUS 194,6,2016-09-26 13:00:00
2244,LH,MUS 394,5,2016-09-26 13:00:00
2245,LH,MUS 594,1,2016-09-26 13:00:00
2248,LH,PE 161,11,2016-09-26 17:00:00
2249,LH,PE 164,10,2016-09-26 18:00:00
2257,LH,MUED 335,18,2016-09-26 09:00:00
2258,LH,MUS 198,13,2016-09-26 14:00:00
2259,LH,MUS 398,6,2016-09-26 14:00:00
2260,LH,MUS 598,1,2016-09-26 14:00:00
2261,LH,MUS 195,22,2016-09-26 15:15:00
2262,LH,MUS 395,2,2016-09-26 15:15:00
2263,LH,MUS 595,2,2016-09-26 15:15:00
2264,LH,MUS 194,1,2016-09-26 17:15:00
2265,LH,MUS 394,1,2016-09-26 17:15:00
2266,LH,MUS 594,1,2016-09-26 17:15:00
2279,LH,MUS 198,8,2016-09-26 15:00:00
2280,LH,MUS 398,2,2016-09-26 15:00:00
2281,LH,MUS 598,0,2016-09-26 15:00:00
2282,LH,MUS 198,9,2016-09-26 16:00:00
2283,LH,MUS 398,7,2016-09-26 16:00:00
2284,LH,MUS 598,0,2016-09-26 16:00:00
2300,NH,LING 131,19,2016-09-26 09:00:00
2301,NH,PHL 314U,26,2016-09-26 14:00:00
2302,NH,PSY 410,48,2016-09-26 16:40:00
2303,NH,PHL 313U,42,2016-09-26 18:40:00
2319,NH,AD HOC,0,2016-09-26 14:00:00
2322,NH,LING 142,0,2016-09-26 10:15:00
2323,NH,FILM 374,19,2016-09-26 18:00:00
2352,NH,BA 302,42,2016-09-26 08:00:00
2353,NH,ENG 306U,35,2016-09-26 12:45:00
2354,NH,INTL 390,32,2016-09-26 14:00:00
2355,NH,HSMP 686,1,2016-09-26 16:00:00
2356,NH,PAH 586,4,2016-09-26 16:00:00
2357,NH,PAH 686,0,2016-09-26 16:00:00
2358,NH,SOPH 03,0,2016-09-26 16:00:00
2359,NH,SOPH 03,0,2016-09-26 16:00:00
2376,NH,IT 201,23,2016-09-26 10:15:00
2377,NH,CCJ 435,13,2016-09-26 11:30:00
2378,NH,IT 101,26,2016-09-26 12:45:00
2379,NH,BA 325,50,2016-09-26 17:30:00
2387,NH,AD HOC,0,2016-09-26 13:00:00
2391,NH,MIM 505,0,2016-09-26 07:45:00
2392,NH,MIM 505,12,2016-09-26 09:00:00
2393,NH,WR 463,1,2016-09-26 16:40:00
2394,NH,WR 563,12,2016-09-26 16:40:00
2395,NH,ENG 500,10,2016-09-26 18:40:00
2420,NH,MGMT 514,35,2016-09-26 12:15:00
2423,NH,ASL 101,28,2016-09-26 08:00:00
2424,NH,WR 213,18,2016-09-26 10:00:00
2425,NH,MGMT 471,46,2016-09-26 17:40:00
2433,NH,ACTG 512,28,2016-09-26 12:15:00
2441,NH,LING 121,13,2016-09-26 09:00:00
2442,NH,PHL 331U,16,2016-09-26 11:30:00
2443,NH,KOR 201,19,2016-09-26 13:00:00
2444,NH,PHL 201,42,2016-09-26 14:00:00
2445,NH,PSY 204,60,2016-09-26 17:30:00
2466,NH,PH 059,6,2016-09-26 12:00:00
2467,NH,ELP 528,13,2016-09-26 16:00:00
2486,NH,ASL 201,23,2016-09-26 08:00:00
2487,NH,PHE 370,14,2016-09-26 10:15:00
2488,NH,ENG 372U,18,2016-09-26 11:30:00
2489,NH,WS 372U,6,2016-09-26 11:30:00
2490,NH,PHE 340,12,2016-09-26 12:45:00
2491,NH,ENG 343U,30,2016-09-26 14:00:00
2492,NH,SW 555,32,2016-09-26 17:30:00
2508,NH,ART 119,25,2016-09-26 09:00:00
2509,NH,ART 120,25,2016-09-26 12:00:00
2510,NH,ART 345,19,2016-09-26 15:00:00
2511,NH,ART 119,24,2016-09-26 18:00:00
2516,NH,ART 299,2,2016-09-26 09:00:00
2517,NH,ART 399,11,2016-09-26 09:00:00
2518,NH,ART 117,20,2016-09-26 14:00:00
2519,NH,ART 117,21,2016-09-26 18:40:00
2525,NH,AD HOC,0,2016-09-26 16:00:00
2528,NH,WR 460,2,2016-09-26 10:00:00
2529,NH,WR 560,13,2016-09-26 10:00:00
2530,NH,SPHR 509,3,2016-09-26 14:00:00
2537,NH,ART 270,12,2016-09-26 14:00:00
2538,NH,ART 271,8,2016-09-26 18:40:00
2541,NH,ART 230,15,2016-09-26 09:00:00
2542,NH,ART 230,21,2016-09-26 14:00:00
2546,NH,ART 131,25,2016-09-26 09:00:00
2547,NH,ART 131,24,2016-09-26 14:00:00
2548,NH,ART 131,20,2016-09-26 18:40:00
2551,NH,ART 462,4,2016-09-26 09:00:00
2552,NH,ART 562,0,2016-09-26 09:00:00
2556,NH,ART 281,16,2016-09-26 09:00:00
2557,NH,ART 410,9,2016-09-26 14:00:00
2558,NH,ART 510,2,2016-09-26 14:00:00
2564,NH,MTH 211,32,2016-09-26 09:00:00
2565,NH,SPAN 341,10,2016-09-26 10:15:00
2566,NH,MTH 346,25,2016-09-26 12:45:00
2567,NH,LING 432,11,2016-09-26 14:00:00
2568,NH,LING 532,5,2016-09-26 14:00:00
2569,NH,MTH 211,27,2016-09-26 16:40:00
2587,NH,COMM 200,45,2016-09-26 08:00:00
2588,NH,SPHR 370,39,2016-09-26 10:00:00
2589,NH,SPHR 410,23,2016-09-26 12:00:00
2590,NH,SPHR 510,0,2016-09-26 12:00:00
2591,NH,PSY 410,55,2016-09-26 16:40:00
2592,NH,ENG 204,21,2016-09-26 18:40:00
2600,NH,MTH 667,9,2016-09-26 11:30:00
2601,NH,MTH 617,10,2016-09-26 12:45:00
2602,NH,MTH 634,12,2016-09-26 17:15:00
2614,NH,AD HOC,0,2016-09-26 18:00:00
2619,NH,LING 101,13,2016-09-26 09:00:00
2620,NH,ANTH 305,44,2016-09-26 11:30:00
2635,NH,RUS 150,7,2016-09-26 07:45:00
2636,NH,SPAN 303,15,2016-09-26 09:00:00
2637,NH,RUS 325,14,2016-09-26 10:15:00
2638,NH,GER 414,11,2016-09-26 11:30:00
2639,NH,GER 514,3,2016-09-26 11:30:00
2640,NH,HEB 301,5,2016-09-26 12:45:00
2641,NH,SYSC 413,2,2016-09-26 16:40:00
2642,NH,SYSC 513,10,2016-09-26 16:40:00
2655,NH,SPAN 301,15,2016-09-26 09:00:00
2656,NH,ENG 104,24,2016-09-26 10:15:00
2657,NH,RUS 411,22,2016-09-26 11:30:00
2658,NH,RUS 511,0,2016-09-26 11:30:00
2659,NH,GER 301,14,2016-09-26 12:45:00
2660,NH,SPAN 325,19,2016-09-26 16:40:00
2671,NH,STAT 451,29,2016-09-26 09:00:00
2672,NH,STAT 551,1,2016-09-26 09:00:00
2673,NH,MTH 256,37,2016-09-26 10:15:00
2674,NH,STAT 561,27,2016-09-26 11:30:00
2675,NH,MTH 254,35,2016-09-26 12:45:00
2676,NH,MTH 261,40,2016-09-26 14:00:00
2677,NH,MTH 253,39,2016-09-26 16:40:00
2678,NH,MTH 261,41,2016-09-26 18:40:00
2687,NH,WR 323,21,2016-09-26 08:15:00
2688,NH,SPAN 302,12,2016-09-26 10:15:00
2689,NH,AR 304,14,2016-09-26 11:30:00
2690,NH,RUS 421,10,2016-09-26 12:45:00
2691,NH,RUS 521,0,2016-09-26 12:45:00
2692,NH,FR 427,8,2016-09-26 14:00:00
2693,NH,FR 527,3,2016-09-26 14:00:00
2694,NH,SPAN 301,13,2016-09-26 16:40:00
2700,NH,STAT 241,40,2016-09-26 08:15:00
2701,NH,STAT 244,32,2016-09-26 10:15:00
2702,NH,SPAN 103,22,2016-09-26 11:30:00
2703,NH,MTH 251,38,2016-09-26 12:45:00
2704,NH,MTH 254,39,2016-09-26 14:00:00
2705,NH,MTH 251,37,2016-09-26 18:40:00
2714,NH,MTH 252,38,2016-09-26 09:00:00
2715,NH,UNST 421,20,2016-09-26 10:15:00
2716,NH,STAT 244,29,2016-09-26 12:45:00
2717,NH,MTH 252,48,2016-09-26 14:00:00
2718,NH,MGMT 428,21,2016-09-26 17:40:00
2730,NH,MIM 505,0,2016-09-26 07:45:00
2737,NH,AD HOC,0,2016-09-26 14:00:00
2738,NH,ANTH 416,7,2016-09-26 08:15:00
2739,NH,ANTH 416H,2,2016-09-26 08:15:00
2740,NH,ANTH 516,2,2016-09-26 08:15:00
2741,NH,MTH 424,16,2016-09-26 10:15:00
2742,NH,MTH 524,4,2016-09-26 10:15:00
2743,NH,MTH 311,27,2016-09-26 11:30:00
2744,NH,MTH 431,10,2016-09-26 12:45:00
2745,NH,MTH 531,7,2016-09-26 12:45:00
2746,NH,UNST 421,13,2016-09-26 14:00:00
2747,NH,MTH 344,23,2016-09-26 16:40:00
2748,NH,SPAN 344,28,2016-09-26 18:40:00
2761,NH,SPHR 584,22,2016-09-26 09:00:00
2762,NH,SPAN 301,11,2016-09-26 11:30:00
2763,NH,LING 144,0,2016-09-26 12:45:00
2764,NH,WR 333,23,2016-09-26 14:00:00
2765,NH,JPN 301,15,2016-09-26 16:40:00
2771,NH,WR 212,17,2016-09-26 08:15:00
2772,NH,FR 399,8,2016-09-26 10:15:00
2773,NH,IT 399,7,2016-09-26 11:30:00
2774,NH,GER 441U,12,2016-09-26 12:45:00
2775,NH,SYSC 350U,24,2016-09-26 14:00:00
2776,NH,LING 438,15,2016-09-26 16:40:00
2788,NH,MKTG 340U,44,2016-09-26 09:00:00
2789,NH,BA 303,44,2016-09-26 10:15:00
2790,NH,MKTG 443,30,2016-09-26 11:30:00
2791,NH,WS 370U,29,2016-09-26 12:45:00
2792,NH,ACTG 335,44,2016-09-26 14:00:00
2793,NH,SPED 418,24,2016-09-26 16:00:00
2794,NH,SPED 518,0,2016-09-26 16:00:00
2804,NH,MIM 505,8,2016-09-26 09:00:00
2805,NH,MIM 505,1,2016-09-26 10:15:00
2806,NH,LING 559,15,2016-09-26 11:30:00
2807,NH,SPAN 509,6,2016-09-26 12:45:00
2808,NH,COUN 504,11,2016-09-26 14:30:00
2809,NH,PA 560,10,2016-09-26 16:00:00
2817,NH,JPN 101,25,2016-09-26 08:00:00
2818,NH,MTH 456,13,2016-09-26 09:00:00
2819,NH,MTH 556,9,2016-09-26 09:00:00
2820,NH,ASL 101,30,2016-09-26 10:00:00
2821,NH,JPN 101,25,2016-09-26 12:00:00
2822,NH,JPN 201,28,2016-09-26 13:00:00
2823,NH,CHLA 301U,30,2016-09-26 14:00:00
2824,NH,WR 312,18,2016-09-26 17:30:00
2835,NH,AD HOC,0,2016-09-26 16:00:00
2836,NH,AR 201,13,2016-09-26 10:15:00
2837,NH,WR 121,17,2016-09-26 11:30:00
2838,NH,CR 301U,16,2016-09-26 14:00:00
2845,NH,SPAN 509,4,2016-09-26 12:45:00
2846,NH,ENG 399,13,2016-09-26 14:00:00
2854,NH,LING 143,17,2016-09-26 11:30:00
2855,NH,LING 143,13,2016-09-26 12:45:00
2856,NH,LING 143,14,2016-09-26 14:00:00
2861,NH,WR 410,3,2016-09-26 10:00:00
2862,NH,WR 510,7,2016-09-26 10:00:00
2863,NH,ART 261,18,2016-09-26 15:00:00
2866,NH,PSY 510,1,2016-09-26 11:30:00
2867,NH,PSY 610,7,2016-09-26 11:30:00
2868,NH,WR 410,0,2016-09-26 17:30:00
2869,NH,WR 510,8,2016-09-26 17:30:00
2874,NH,FR 101,22,2016-09-26 09:00:00
2875,NH,HEB 201,9,2016-09-26 10:15:00
2876,NH,SPAN 101,28,2016-09-26 11:30:00
2877,NH,SPAN 101,27,2016-09-26 14:00:00
2878,NH,SPAN 103,21,2016-09-26 16:40:00
2888,NH,SPHR 380,40,2016-09-26 08:00:00
2889,NH,SOC 310,31,2016-09-26 10:15:00
2890,NH,CCJ 355U,72,2016-09-26 11:30:00
2891,NH,ARH 205,61,2016-09-26 12:45:00
2892,NH,PSY 432,80,2016-09-26 14:00:00
2914,NH,LING 101,12,2016-09-26 09:00:00
2915,NH,RUS 301,8,2016-09-26 11:30:00
2916,NH,RUS 101,16,2016-09-26 12:45:00
2917,NH,WR 323,24,2016-09-26 14:00:00
2918,NH,WR 212,17,2016-09-26 18:40:00
2925,NH,RUS 111,12,2016-09-26 09:00:00
2926,NH,PH 624,20,2016-09-26 10:15:00
2927,NH,LING 154,21,2016-09-26 14:00:00
2928,NH,EC 592,6,2016-09-26 16:40:00
2937,NH,FILM 257,16,2016-09-26 10:00:00
2938,NH,FILM 360,15,2016-09-26 12:00:00
2939,NH,FILM 374,19,2016-09-26 14:00:00
2940,NH,FILM 258,14,2016-09-26 16:00:00
2941,NH,FILM 257,16,2016-09-26 18:00:00
2944,NH,PS 416,14,2016-09-26 09:00:00
2945,NH,PS 516,1,2016-09-26 09:00:00
2946,NH,ACTG 381,19,2016-09-26 10:15:00
2947,NH,ACTG 381,0,2016-09-26 10:15:00
2948,NH,MTH 251,39,2016-09-26 11:30:00
2949,NH,BA 211,49,2016-09-26 14:00:00
2950,NH,PHE 351U,22,2016-09-26 17:30:00
2967,NH,FIN 531,20,2016-09-26 17:30:00
2968,NH,COMM 220,74,2016-09-26 08:15:00
2969,NH,ENG 301U,35,2016-09-26 10:15:00
2970,NH,MIM 505,0,2016-09-26 11:30:00
2977,NH,FIN 516,16,2016-09-26 17:30:00
2982,NH,STAT 243,73,2016-09-26 08:15:00
2983,NH,MTH 482,7,2016-09-26 17:15:00
2984,NH,MTH 582,12,2016-09-26 17:15:00
2988,OND,LING 142,18,2016-09-26 09:00:00
2989,OND,AR 101,16,2016-09-26 10:15:00
2990,OND,INTL 360U,19,2016-09-26 11:30:00
2991,OND,BST 414U,19,2016-09-26 12:45:00
2992,OND,HEB 101,11,2016-09-26 14:00:00
2993,OND,USP 323U,20,2016-09-26 16:40:00
3001,OND,LING 101,13,2016-09-26 09:00:00
3002,OND,ESM 420,15,2016-09-26 12:00:00
3003,OND,ESM 520,6,2016-09-26 12:00:00
3004,OND,LING 104,12,2016-09-26 14:00:00
3005,OND,SPED 510,24,2016-09-26 16:00:00
3006,OND,SPED 509,24,2016-09-26 18:40:00
3054,OND,EC 312,19,2016-09-26 10:00:00
3055,OND,HON 202,30,2016-09-26 14:00:00
3072,OND,LING 143,15,2016-09-26 11:30:00
3073,OND,LING 143,11,2016-09-26 12:45:00
3074,OND,LING 114,14,2016-09-26 14:00:00
3075,OND,LING 399,17,2016-09-26 15:15:00
3076,OND,AD HOC,0,2016-09-26 18:00:00
3081,OND,COMM 220,74,2016-09-26 08:15:00
3082,OND,PSY 347,53,2016-09-26 10:15:00
3083,OND,PHE 450,58,2016-09-26 11:30:00
3084,OND,LING 390,45,2016-09-26 12:45:00
3085,OND,USP 533,35,2016-09-26 14:00:00
3086,OND,CR 423,12,2016-09-26 17:30:00
3087,OND,CR 523,7,2016-09-26 17:30:00
3096,OND,HON 201,28,2016-09-26 10:00:00
3097,OND,USP 588,25,2016-09-26 15:00:00
3098,OND,SW 539,16,2016-09-26 17:30:00
3108,PKM,WS 377U,13,2016-09-26 14:00:00
3110,PKM,BA 211,47,2016-09-26 08:15:00
3111,PKM,UNST 147A,36,2016-09-26 10:15:00
3112,PKM,PH 319,24,2016-09-26 11:30:00
3121,PKM,UNST 236C,33,2016-09-26 08:55:00
3122,PKM,CH 221H,35,2016-09-26 10:15:00
3123,PKM,FR 301,28,2016-09-26 11:30:00
3124,PKM,ENG 351U,26,2016-09-26 14:00:00
3125,PKM,ENG 320U,16,2016-09-26 17:30:00
3133,PKM,CHN 201,9,2016-09-26 09:00:00
3134,PKM,SPAN 102,27,2016-09-26 11:30:00
3135,PKM,UNST 421C,14,2016-09-26 12:45:00
3136,PKM,SPAN 201,24,2016-09-26 16:40:00
3137,PKM,SPAN 201,11,2016-09-26 18:40:00
3144,PKM,GRK 101,17,2016-09-26 10:15:00
3145,PKM,SPAN 101,27,2016-09-26 16:40:00
3146,PKM,SPAN 101,22,2016-09-26 18:40:00
3152,PKM,TUR 101,4,2016-09-26 10:15:00
3153,PKM,AD HOC,0,2016-09-26 11:30:00
3154,PKM,LING 559,0,2016-09-26 12:45:00
3155,PKM,PSY 510,0,2016-09-26 14:00:00
3156,PKM,PSY 610,6,2016-09-26 14:00:00
3157,PKM,IT 101,22,2016-09-26 18:40:00
3164,PKM,SPAN 201,26,2016-09-26 10:15:00
3165,PKM,SPAN 201,28,2016-09-26 11:30:00
3166,PKM,SW 630,7,2016-09-26 14:00:00
3167,PKM,GER 101,17,2016-09-26 18:40:00
3176,PKM,STAT 572,20,2016-09-26 09:00:00
3177,PKM,HON 403,18,2016-09-26 12:45:00
3178,PKM,LING 134,20,2016-09-26 14:00:00
3187,PNT,EC 202,32,2016-09-26 10:00:00
3188,PNT,COMM 314U,80,2016-09-26 12:00:00
3189,PNT,ACTG 492,38,2016-09-26 14:00:00
3190,PNT,ACTG 592S,1,2016-09-26 14:00:00
3191,PNT,HST 300,18,2016-09-26 16:40:00
3204,PNT,PA 313U,15,2016-09-26 10:00:00
3205,PNT,ED 420,23,2016-09-26 13:00:00
3206,PNT,ED 520,0,2016-09-26 13:00:00
3207,PNT,ENG 253,30,2016-09-26 16:40:00
3217,PNT,FR 201,17,2016-09-26 10:15:00
3218,PNT,FR 201,17,2016-09-26 11:30:00
3219,PNT,LAT 101,22,2016-09-26 12:45:00
3220,PNT,ASL 101,26,2016-09-26 14:00:00
3221,PNT,WLL 560,10,2016-09-26 16:40:00
3232,PNT,LING 560,13,2016-09-26 09:00:00
3233,PNT,LING 561,8,2016-09-26 10:15:00
3234,PNT,ESM 435,7,2016-09-26 11:30:00
3235,PNT,ESM 535,9,2016-09-26 11:30:00
3236,PNT,ENG 491,21,2016-09-26 14:00:00
3237,PNT,ENG 591,6,2016-09-26 14:00:00
3250,SB1,ARCH 230,97,2016-09-26 09:00:00
3251,SB1,CH 490,118,2016-09-26 11:30:00
3252,SB1,CH 590,1,2016-09-26 11:30:00
3253,SB1,CH 199,43,2016-09-26 12:45:00
3254,SB1,PH 507,7,2016-09-26 15:15:00
3255,SB1,PH 607,18,2016-09-26 15:15:00
3256,SB1,BA 495,29,2016-09-26 17:40:00
3268,SB1,CH 661,8,2016-09-26 17:15:00
3283,SB1,ESM 340,18,2016-09-26 14:00:00
3302,SEC,UNST 421,16,2016-09-26 10:15:00
3303,SEC,PHE 576,6,2016-09-26 16:00:00
3324,SEC,WR 323,6,2016-09-26 14:00:00
3337,SEH,UNST 421,18,2016-09-26 12:45:00
3343,SEH,LING 121,14,2016-09-26 10:15:00
3344,SEH,SPAN 510,7,2016-09-26 14:00:00
3345,SEH,FIN 473,1,2016-09-26 17:15:00
3346,SEH,FIN 573,2,2016-09-26 17:15:00
3353,SEH,WR 121,19,2016-09-26 08:15:00
3354,SEH,LING 131,20,2016-09-26 10:15:00
3362,SEH,HON 101,30,2016-09-26 09:00:00
3363,SEH,BA 522,32,2016-09-26 10:15:00
3364,SEH,HON 101,32,2016-09-26 11:30:00
3365,SEH,HON 101,0,2016-09-26 12:45:00
3366,SEH,WS 306U,32,2016-09-26 14:00:00
3367,SEH,WS 330U,33,2016-09-26 17:30:00
3377,SH,ART 200,18,2016-09-26 09:00:00
3378,SH,ARCH 225,17,2016-09-26 18:00:00
3387,SH,ARCH 120,16,2016-09-26 13:00:00
3388,SH,ARCH 120,16,2016-09-26 18:00:00
3399,SH,CH 104,83,2016-09-26 09:00:00
3400,SH,ME 320,60,2016-09-26 10:15:00
3401,SH,LING 399,15,2016-09-26 14:00:00
3402,SH,PHE 250,90,2016-09-26 17:30:00
3408,SH,ARCH 580,9,2016-09-26 13:00:00
3409,SH,ARCH 580,9,2016-09-26 13:00:00
3410,SH,ARCH 580,10,2016-09-26 13:00:00
3411,SH,ARCH 586,10,2016-09-26 13:00:00
3412,SH,ARCH 434,6,2016-09-26 10:00:00
3413,SH,ARCH 534,11,2016-09-26 10:00:00
3417,SH,ARCH 586,9,2016-09-26 13:00:00
3421,SH,ARCH 100,118,2016-09-26 10:15:00
3423,SH,ARCH 280,16,2016-09-26 13:00:00
3424,SH,ARCH 280,17,2016-09-26 13:00:00
3425,SH,ARCH 280,16,2016-09-26 13:00:00
3426,SH,ARCH 380,13,2016-09-26 13:00:00
3427,SH,ARCH 380,13,2016-09-26 13:00:00
3428,SH,ARCH 380,13,2016-09-26 13:00:00
3429,SH,ARCH 121,12,2016-09-26 13:00:00
3430,SH,ARCH 480,15,2016-09-26 13:00:00
3431,SH,ARCH 480,15,2016-09-26 13:00:00
3432,SH,ARCH 480,15,2016-09-26 13:00:00
3433,SH,ARCH 571,6,2016-09-26 13:00:00
3438,SRTC,PH 375U,13,2016-09-26 14:00:00
3439,SRTC,PH 471,5,2016-09-26 14:00:00
3440,SRTC,FIN 352,14,2016-09-26 16:40:00
3441,SRTC,PH 335U,43,2016-09-26 18:40:00
3453,SRTC,WR 214,11,2016-09-26 08:15:00
3454,SRTC,PH 321,3,2016-09-26 10:15:00
3455,SRTC,WR 121,19,2016-09-26 12:45:00
3456,SRTC,PH 378U,7,2016-09-26 14:00:00
3457,SRTC,SCI 355U,17,2016-09-26 14:00:00
3458,SRTC,WR 121,20,2016-09-26 16:40:00
3459,SRTC,PH 445,1,2016-09-26 18:40:00
